,locality,postcode,kitchen_has,furnished,facades_number
58001,1180,1180.0,1,1,-999
58002,8377,8377.0,1,0,-999
58003,2500,2500.0,1,0,-999
58004,1000,1000.0,1,0,-999
58005,9700,9700.0,1,0,-999
58006,1000,1000.0,1,0,-999
58007,1000,1000.0,1,0,-999
58008,8400,8400.0,1,0,-999
58009,9000,9000.0,1,0,-999
58010,2000,2000.0,1,0,-999
58011,1060,1060.0,1,0,-999
58012,1050,1050.0,1,0,-999
58013,1000,1000.0,1,0,-999
58014,1180,1180.0,1,0,-999
58015,1050,1050.0,1,1,-999
58016,1030,1030.0,1,1,-999
58017,1060,1060.0,1,0,-999
58018,1180,1180.0,1,0,-999
58019,8300,8300.0,1,0,-999
58020,1000,1000.0,1,0,-999
58021,1040,1040.0,1,0,-999
58022,1050,1050.0,1,0,-999
58023,1000,1000.0,1,0,-999
58024,1050,1050.0,1,0,-999
58025,8300,8300.0,1,0,-999
58026,1000,1000.0,1,0,-999
58027,8300,8300.0,1,0,-999
58028,1180,1180.0,0,0,-999
58029,8300,8300.0,1,0,-999
58030,9850,9850.0,1,0,-999
58031,1000,1000.0,1,0,-999
58032,1180,1180.0,0,0,-999
58033,1200,1200.0,1,0,-999
58034,4030,4030.0,1,0,-999
58035,1200,1200.0,1,0,-999
58036,8434,8434.0,1,0,-999
58037,1000,1000.0,1,0,-999
58038,1050,1050.0,1,0,-999
58039,1400,1400.0,1,0,-999
58040,4620,4620.0,1,0,-999
58041,1120,1120.0,1,0,-999
58042,9800,9800.0,1,0,-999
58043,9800,9800.0,1,0,-999
58044,5150,5150.0,1,0,-999
58045,9800,9800.0,1,0,-999
58046,9800,9800.0,1,0,-999
58047,1120,1120.0,1,0,-999
58048,9800,9800.0,1,0,-999
58049,9000,9000.0,1,0,-999
58050,1070,1070.0,1,0,-999
58051,9000,9000.0,1,0,-999
58052,8300,8300.0,1,0,-999
58053,2018,2018.0,1,1,-999
58054,1380,1380.0,1,0,-999
58055,2530,2530.0,1,0,-999
58056,7170,7170.0,1,0,-999
58057,8434,8434.0,1,1,-999
58058,3000,3000.0,1,0,-999
58059,1420,1420.0,1,0,-999
58060,8300,8300.0,0,0,-999
58061,1000,1000.0,1,1,-999
58062,1348,1348.0,1,0,-999
58063,1050,1050.0,1,0,-999
58064,1000,1000.0,1,0,-999
58065,8530,8530.0,1,0,-999
58066,1050,1050.0,1,0,-999
58067,6220,6220.0,1,0,-999
58068,2660,2660.0,1,0,-999
58069,1000,1000.0,1,0,-999
58070,1083,1083.0,1,0,-999
58071,1800,1800.0,1,0,-999
58072,1435,1435.0,1,0,-999
58073,3001,3001.0,1,0,-999
58074,1180,1180.0,1,0,-999
58075,1160,1160.0,1,0,-999
58076,6880,6880.0,1,0,-999
58077,1435,1435.0,1,0,-999
58078,1160,1160.0,1,0,-999
58079,1435,1435.0,1,0,-999
58080,2018,2018.0,1,0,-999
58081,1435,1435.0,1,0,-999
58082,1640,1640.0,1,0,-999
58083,1200,1200.0,1,0,-999
58084,1435,1435.0,1,0,-999
58085,1050,1050.0,1,0,-999
58086,1200,1200.0,1,0,-999
58087,1200,1200.0,1,0,-999
58088,1200,1200.0,1,0,-999
58089,1060,1060.0,1,0,-999
58090,1050,1050.0,1,0,-999
58091,1060,1060.0,1,0,-999
58092,1180,1180.0,1,0,-999
58093,1348,1348.0,1,0,-999
58094,1180,1180.0,1,0,-999
58095,1000,1000.0,1,0,-999
58096,1050,1050.0,1,0,-999
58097,1180,1180.0,1,0,-999
58098,1200,1200.0,1,0,-999
58099,1050,1050.0,1,0,-999
58100,1050,1050.0,1,0,-999
58101,1050,1050.0,1,0,-999
58102,1050,1050.0,1,0,-999
58103,1050,1050.0,1,0,-999
58104,8670,8670.0,0,1,-999
58105,8400,8400.0,1,1,-999
58106,8400,8400.0,1,0,-999
58107,1050,1050.0,1,0,-999
58108,8434,8434.0,1,0,-999
58109,1400,1400.0,1,0,-999
58110,7850,7850.0,1,0,-999
58111,6240,6240.0,1,0,-999
58112,6900,6900.0,1,0,-999
58113,7090,7090.0,1,0,-999
58114,1652,1652.0,1,0,-999
58115,8530,8530.0,1,0,-999
58116,6600,6600.0,1,0,-999
58117,7000,7000.0,1,0,-999
58118,1050,1050.0,1,0,-999
58119,9600,9600.0,0,0,-999
58120,7500,7500.0,1,0,-999
58121,8800,8800.0,1,0,-999
58122,6700,6700.0,1,0,-999
58123,6700,6700.0,1,0,-999
58124,1140,1140.0,1,0,-999
58125,8530,8530.0,1,0,-999
58126,1160,1160.0,1,0,-999
58127,9190,9190.0,1,0,-999
